 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:01531-05977,22.157,1.043,0.112,0.833,1.200,17.807
2,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:01538-06785,38.980,1.018,0.133,0.714,1.200,22.556
3,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:01660-08076,49.238,1.024,0.130,0.833,1.200,26.710
4,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:01792-07074,2.462,0.925,0.123,0.714,1.000,5.435
5,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:01876-08324,6.565,1.019,0.140,0.833,1.200,10.715
6,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:01918-06335,38.569,1.048,0.113,0.857,1.333,23.087
7,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:01956-06529,6.155,1.093,0.121,0.833,1.200,8.528
8,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:01998-05829,20.926,1.006,0.107,0.857,1.167,16.370
9,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02012-08954,23.798,1.021,0.104,0.857,1.167,17.651
10,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02152-05771,96.834,1.024,0.113,0.750,1.600,37.270
11,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02296-06666,14.361,1.030,0.140,0.833,1.200,13.808
12,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02298-09081,48.007,1.001,0.131,0.714,1.200,25.649
13,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02317-06073,43.083,1.011,0.121,0.800,1.200,24.212
14,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02338-09112,4.513,0.973,0.107,0.833,1.200,7.622
15,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02358-07630,11.078,1.053,0.123,0.857,1.333,13.963
16,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02538-06588,11.078,1.028,0.130,0.833,1.200,12.527
17,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02539-09333,14.361,0.980,0.129,0.750,1.200,14.183
18,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02544-08951,12.309,1.017,0.134,0.833,1.250,13.122
19,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02564-09458,42.673,1.032,0.115,0.750,1.333,25.649
20,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02597-08425,1.641,0.958,0.083,0.833,1.000,4.905
21,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02597-08414,5.744,0.995,0.133,0.833,1.200,9.809
22,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02599-08430,0.821,1.000,0.000,1.000,1.000,3.843
23,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02603-08404,0.410,1.000,0.000,1.000,1.000,2.562
24,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02620-08441,0.410,1.200,0.000,1.200,1.200,2.562
25,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02614-08437,63.188,1.019,0.134,0.833,1.500,32.210
26,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02625-06151,0.410,1.200,0.000,1.200,1.200,2.562
27,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02635-08436,11.489,1.036,0.090,0.833,1.200,13.808
28,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02627-06150,75.498,1.041,0.130,0.800,1.200,42.019
29,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02639-08413,1.231,1.000,0.000,1.000,1.000,3.624
30,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02680-06126,8.206,1.005,0.122,0.833,1.400,16.526
31,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02684-06126,0.410,1.000,0.000,1.000,1.000,2.562
32,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02734-05116,2.872,1.010,0.150,0.833,1.200,6.341
33,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02750-10491,9.027,1.026,0.139,0.833,1.200,11.621
34,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02761-08607,3.283,1.050,0.128,0.833,1.200,6.716
35,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02764-04977,27.901,1.028,0.125,0.833,1.200,20.524
36,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02778-06081,32.004,1.030,0.135,0.833,1.400,21.650
37,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02807-07225,21.747,1.042,0.123,0.833,1.200,17.121
38,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02817-09785,14.771,1.046,0.146,0.833,1.200,13.808
39,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02848-08425,20.105,1.047,0.137,0.833,1.200,15.620
40,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02848-08875,23.798,1.047,0.139,0.800,1.200,17.651
41,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02852-07423,2.872,1.000,0.000,1.000,1.000,6.186
42,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02878-05983,14.771,0.993,0.121,0.714,1.200,14.559
43,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02875-05961,222.800,1.025,0.131,0.714,1.500,60.952
44,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02886-07345,14.771,0.985,0.142,0.714,1.200,13.653
45,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02941-10279,30.773,1.038,0.138,0.833,1.400,20.744
46,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:02990-06495,13.130,0.992,0.135,0.833,1.250,13.277
47,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03004-04490,4.103,1.047,0.147,0.833,1.200,7.092
48,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03001-10832,32.825,1.054,0.148,0.714,1.500,20.900
49,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03114-06918,16.413,1.002,0.113,0.833,1.200,14.869
50,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03174-11025,41.442,0.998,0.117,0.833,1.200,23.837
51,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03274-05774,46.365,1.008,0.106,0.857,1.333,25.118
52,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03358-10348,19.695,1.021,0.145,0.833,1.400,16.215
53,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03358-08573,30.363,1.051,0.135,0.833,1.750,20.369
54,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03365-06147,197.771,1.030,0.131,0.714,1.750,58.234
55,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03439-05019,20.926,0.993,0.145,0.571,1.200,16.370
56,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03483-03754,103.399,1.036,0.110,0.857,1.400,39.457
57,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03505-08658,22.567,1.063,0.140,0.833,1.500,16.746
58,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03521-06734,16.002,1.028,0.106,0.833,1.200,15.089
59,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03540-08374,0.410,0.833,0.000,0.833,0.833,2.562
60,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03576-08397,11.078,1.056,0.136,0.833,1.400,12.152
61,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03592-06302,16.002,0.981,0.146,0.667,1.200,14.183
62,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03669-04703,6.565,1.033,0.150,0.833,1.400,8.903
63,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03694-10953,11.899,0.986,0.110,0.750,1.167,12.902
64,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03695-06465,15.592,1.021,0.124,0.833,1.200,14.183
65,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03707-03827,89.448,1.031,0.107,0.857,1.167,53.201
66,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03723-08072,21.336,1.010,0.087,0.857,1.167,17.276
67,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03731-08168,6.155,1.016,0.110,0.857,1.167,8.528
68,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03765-10565,14.361,1.010,0.103,0.857,1.167,13.653
69,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03767-07484,1.641,1.125,0.083,1.000,1.167,4.529
70,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03829-06178,2.052,1.005,0.110,0.857,1.167,5.435
71,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03835-06182,0.410,0.857,0.000,0.857,0.857,2.562
72,Result of BEFORE_GA3_B4 Region1_Merged_RAW_ch01.tif:03832-07840,28.722,1.028,0.105,0.857,1.167,19.619
