 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:01038-11636,0.030,0.893,0.138,0.635,161.514,14.319,0.208,0.194,0.921,1.118,0.895,0.913
2,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:01360-07131,0.014,1.573,0.257,0.434,98.972,18.833,0.153,0.125,0.929,1.179,0.848,0.894
3,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:01425-09716,1.929E-4,1.107,0.000,0.056,134.944,19.792,0.014,0.014,0.785,1.000,1.000,1.000
4,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:01431-09713,1.929E-4,0.812,0.000,0.056,134.903,19.875,0.014,0.014,0.785,1.000,1.000,1.000
5,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:01430-09719,0.026,1.077,0.258,0.677,134.889,19.778,0.194,0.181,0.724,1.048,0.954,0.898
6,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:01510-07900,0.024,1.259,0.304,0.556,109.639,20.889,0.181,0.167,0.956,1.054,0.949,0.928
7,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:01579-06899,0.004,0.948,0.105,0.333,95.792,21.889,0.069,0.083,0.436,1.164,0.859,0.784
8,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:01617-07433,0.003,1.458,0.148,0.278,103.208,22.431,0.069,0.069,0.534,1.171,0.854,0.810
9,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:01638-09048,1.929E-4,0.966,0.000,0.056,125.667,22.750,0.014,0.014,0.785,1.000,1.000,1.000
10,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:01645-09047,0.031,0.785,0.146,0.725,125.556,22.736,0.208,0.222,0.748,1.119,0.894,0.888
11,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:01666-07900,0.002,1.260,0.236,0.167,109.694,23.125,0.056,0.028,0.698,2.000,0.500,1.000
12,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:01965-08308,0.004,1.053,0.149,0.306,115.361,27.250,0.069,0.083,0.597,1.130,0.885,0.868
13,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:01968-08130,0.016,0.910,0.086,0.556,112.847,27.264,0.139,0.139,0.660,1.231,0.812,0.933
14,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02048-06695,0.007,1.451,0.319,0.361,92.944,28.403,0.083,0.097,0.651,1.129,0.885,0.921
15,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02053-06696,1.929E-4,1.143,0.000,0.056,93.000,28.514,0.014,0.014,0.785,1.000,1.000,1.000
16,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02062-06595,7.716E-4,2.150,0.314,0.139,91.583,28.625,0.042,0.028,0.503,2.000,0.500,0.800
17,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02065-08884,0.012,1.056,0.216,0.500,123.333,28.625,0.125,0.125,0.621,1.115,0.897,0.921
18,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02070-06596,1.929E-4,2.143,0.000,0.056,91.611,28.750,0.014,0.014,0.785,1.000,1.000,1.000
19,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02100-07524,0.002,2.145,0.353,0.222,104.472,29.139,0.056,0.056,0.589,1.218,0.821,0.889
20,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02163-08252,1.929E-4,1.053,0.000,0.056,114.611,30.042,0.014,0.014,0.785,1.000,1.000,1.000
21,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02161-08252,0.018,1.259,0.217,0.639,114.542,29.931,0.153,0.167,0.564,1.141,0.876,0.880
22,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02176-07623,0.017,1.078,0.135,0.639,105.778,30.167,0.194,0.125,0.511,1.540,0.649,0.896
23,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02201-08391,0.029,1.650,0.702,0.833,116.458,30.472,0.181,0.208,0.520,1.221,0.819,0.900
24,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02253-09091,0.016,0.828,0.100,0.611,126.194,31.222,0.139,0.153,0.545,1.224,0.817,0.898
25,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02275-07048,0.020,1.551,0.246,0.694,97.806,31.514,0.167,0.181,0.513,1.271,0.787,0.887
26,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02361-04209,0.010,1.495,0.199,0.472,58.403,32.736,0.111,0.125,0.565,1.095,0.913,0.867
27,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02391-04916,0.010,1.682,0.274,0.472,68.222,33.153,0.125,0.111,0.544,1.252,0.799,0.877
28,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02406-07079,0.008,1.020,0.113,0.444,98.278,33.361,0.097,0.125,0.491,1.416,0.706,0.842
29,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02414-09938,0.020,0.835,0.107,0.667,137.944,33.444,0.167,0.167,0.556,1.099,0.910,0.887
30,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02518-04449,0.007,1.870,0.409,0.389,61.750,34.931,0.097,0.097,0.609,1.106,0.904,0.894
31,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02579-05647,0.012,1.311,0.260,0.500,78.375,35.764,0.125,0.125,0.611,1.182,0.846,0.894
32,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02632-09870,0.033,0.942,0.112,0.833,136.986,36.458,0.208,0.208,0.600,1.055,0.947,0.922
33,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02656-04239,0.007,1.354,0.190,0.389,58.833,36.847,0.097,0.097,0.593,1.086,0.921,0.881
34,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02661-09352,0.011,1.317,0.193,0.500,129.833,36.903,0.111,0.125,0.543,1.271,0.787,0.903
35,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02673-04361,0.012,1.917,0.284,0.500,60.514,37.069,0.125,0.125,0.591,1.043,0.959,0.897
36,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02723-08128,3.858E-4,1.689,0.126,0.083,112.889,37.806,0.014,0.028,0.698,2.000,0.500,1.000
37,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02724-07591,0.011,1.485,0.218,0.500,105.375,37.764,0.111,0.139,0.533,1.320,0.758,0.880
38,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02727-07471,0.017,1.307,0.227,0.611,103.681,37.806,0.167,0.139,0.571,1.207,0.828,0.889
39,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02739-09942,0.004,0.952,0.135,0.361,138.028,38.014,0.111,0.069,0.390,1.671,0.599,0.750
40,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02830-08698,0.014,0.966,0.182,0.556,120.736,39.236,0.139,0.139,0.550,1.193,0.838,0.875
41,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02842-07383,0.028,0.946,0.190,0.778,102.444,39.375,0.194,0.194,0.585,1.206,0.829,0.918
42,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02860-07958,0.024,0.970,0.140,0.722,110.444,39.639,0.181,0.181,0.567,1.063,0.941,0.900
43,Result of BEFORE_GA3_A1 Region1_Merged_RAW_ch01.tif:02889-06185,0.018,1.277,0.227,0.639,85.819,40.056,0.167,0.153,0.564,1.096,0.912,0.896
