 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00007-04986,17.643,1.700,0.240,1.238,2.375,15.089
2,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00026-06468,34.056,1.563,0.326,0.871,2.308,26.024
3,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00046-07126,32.415,2.813,0.665,1.529,4.357,21.430
4,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00171-07491,31.594,2.954,0.400,2.000,4.300,20.900
5,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00198-06268,52.520,2.546,0.780,1.217,4.379,26.024
6,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00264-06342,0.410,2.500,0.000,2.500,2.500,2.562
7,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00265-06340,1.231,2.496,0.260,2.214,2.727,3.624
8,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00376-07573,49.238,2.575,0.536,1.421,4.045,25.649
9,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00387-06301,54.161,2.391,0.532,1.308,3.857,26.930
10,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00401-05896,31.594,2.805,0.624,1.438,4.238,20.369
11,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00416-08090,0.821,2.332,0.035,2.308,2.357,3.843
12,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00415-08093,5.744,2.455,0.332,1.857,2.818,8.903
13,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00418-08090,0.410,2.071,0.000,2.071,2.071,2.562
14,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00415-06272,33.646,2.187,0.493,1.250,3.091,21.650
15,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00424-09090,0.410,2.385,0.000,2.385,2.385,2.562
16,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00425-09081,0.410,2.667,0.000,2.667,2.667,2.562
17,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00425-09091,0.410,2.455,0.000,2.455,2.455,2.562
18,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00427-09091,0.410,2.583,0.000,2.583,2.583,2.562
19,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00426-09086,17.643,2.315,0.331,1.588,3.091,18.493
20,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00441-06133,20.105,1.988,0.246,1.526,2.429,16.746
21,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00449-06123,39.390,2.017,0.355,1.318,3.000,23.462
22,slice0001_Result of After_GA3_B4 Region1_Merged_RAW_ch01.tif:00458-06365,33.646,3.284,0.558,2.250,5.000,22.336
