 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:00134-08248,82.473,0.848,0.245,0.518,2.250,33.491
2,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:00224-03896,0.410,1.043,0.000,1.043,1.043,2.562
3,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:00231-03889,0.410,0.800,0.000,0.800,0.800,2.562
4,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:00232-03892,0.410,0.767,0.000,0.767,0.767,2.562
5,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:00229-03895,7.386,0.960,0.187,0.703,1.238,14.339
6,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:00347-04521,24.208,0.890,0.151,0.653,1.667,18.182
7,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:00427-08496,2.052,0.940,0.149,0.808,1.190,6.186
8,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:00515-08271,29.132,1.080,0.420,0.491,2.154,20.149
9,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:00527-07625,0.410,0.610,0.000,0.610,0.610,2.562
10,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:00523-07628,23.798,0.597,0.091,0.414,0.804,25.585
11,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:00533-09462,36.928,1.414,0.231,0.889,1.955,22.025
12,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:00861-06027,27.901,1.138,0.166,0.703,1.543,19.088
13,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:00870-06878,0.410,0.885,0.000,0.885,0.885,2.562
14,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:00875-06875,36.518,0.822,0.165,0.543,1.412,22.711
15,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:00914-05975,74.267,1.729,0.479,0.871,2.828,32.365
16,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:00988-07716,15.182,1.255,0.158,0.821,1.562,14.339
17,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01036-07622,18.054,1.877,0.396,1.095,2.647,15.995
18,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01064-09294,35.287,1.852,0.217,1.421,2.438,22.556
19,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01083-07110,0.410,0.732,0.000,0.732,0.732,2.562
20,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01085-07109,0.410,0.596,0.000,0.596,0.596,2.562
21,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01164-08980,116.939,0.995,0.148,0.571,1.522,40.583
22,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01187-10209,54.572,1.577,0.384,0.783,2.371,26.555
23,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01199-07277,8.617,1.355,0.134,1.045,1.600,11.246
24,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01194-08328,89.038,1.375,0.332,0.640,2.113,34.772
25,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01239-09563,15.182,1.250,0.134,1.042,1.632,13.653
26,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01247-09730,0.821,2.394,0.086,2.333,2.455,3.843
27,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01260-09081,99.296,1.478,0.214,0.941,2.087,36.959
28,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01319-08741,1.231,1.067,0.115,1.000,1.200,3.624
29,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01323-06405,32.004,1.585,0.230,0.885,2.000,20.744
30,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01334-08361,23.388,1.836,0.299,1.286,2.455,17.651
31,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01598-07091,6.975,1.893,0.281,1.357,2.400,9.434
32,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01602-09930,2.462,1.881,0.323,1.278,2.154,6.406
33,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01601-06787,36.518,1.662,0.252,1.154,2.333,22.181
34,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01634-07109,18.054,2.652,0.676,1.500,4.143,15.245
35,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01725-05833,4.103,1.659,0.231,1.333,2.125,7.622
36,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01732-06129,0.410,1.235,0.000,1.235,1.235,2.562
37,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01732-06129,17.233,1.936,0.386,1.235,3.083,15.089
38,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01747-06091,20.926,1.212,0.212,0.842,1.739,16.370
39,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01938-06697,17.643,1.233,0.164,0.967,1.607,15.464
40,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01984-06420,11.078,1.565,0.222,1.278,2.125,11.621
41,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:01992-06228,6.975,1.884,0.237,1.556,2.429,11.466
42,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:02009-08120,1.231,2.185,0.231,2.000,2.444,5.435
43,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:02020-04662,28.312,1.067,0.157,0.778,1.571,19.463
44,slice0001_Result of After_GA3_A2 Region1_Merged_RAW_ch01.tif:02072-06859,34.056,2.087,0.361,1.214,3.308,21.650
