 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1490,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09591-05889,2.872,1.770,0.328,1.200,2.143,6.716
1491,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09586-04525,34.877,2.331,0.429,1.500,3.212,23.087
1492,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09595-05890,0.410,1.500,0.000,1.500,1.500,2.562
1493,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09603-06678,12.309,2.262,0.427,1.312,3.154,12.902
1494,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09613-07216,38.980,2.474,0.498,1.167,3.381,23.087
1495,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09632-05032,12.720,1.916,0.358,1.188,2.611,13.277
1496,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09639-07185,17.643,2.268,0.337,1.412,2.909,15.089
1497,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09637-07710,43.903,2.968,0.580,1.812,4.688,23.837
1498,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09636-06356,84.114,1.949,0.566,0.966,3.623,33.866
1499,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09645-09510,18.464,2.985,0.583,2.250,4.600,15.840
1500,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09648-06083,15.592,2.596,0.425,1.800,3.667,14.714
1501,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09677-08631,24.208,2.041,0.267,1.545,2.667,18.557
1502,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09694-07768,4.513,2.174,0.237,1.750,2.533,7.998
1503,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09693-07870,27.491,2.293,0.434,1.412,3.368,18.933
1504,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09696-07177,41.852,2.370,0.452,1.357,3.706,23.307
1505,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09709-06525,39.390,2.509,0.532,1.364,3.783,22.931
1506,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09711-05279,37.338,3.356,0.820,1.583,5.308,22.025
1507,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09734-03220,34.877,2.378,0.649,1.286,4.667,22.025
1508,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09735-06372,49.238,1.325,0.353,0.828,2.500,40.518
1509,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09738-06825,19.695,3.673,1.194,1.846,5.778,15.620
1510,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09743-04767,34.877,2.539,0.686,1.364,4.273,21.650
1511,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09743-05941,31.184,2.015,0.334,1.312,2.650,20.369
1512,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09760-03284,5.744,3.183,0.451,2.600,4.000,7.998
1513,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09760-03718,43.493,1.608,0.360,1.095,3.182,24.212
1514,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09765-05251,75.087,2.643,0.742,1.458,4.464,31.835
1515,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:09767-05704,60.316,2.470,0.561,1.368,3.844,28.211
