 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:00883-02590,0.821,1.304,0.109,1.227,1.381,3.093
2,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:00991-07062,34.877,2.684,0.954,1.267,5.308,21.870
3,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:01209-06113,0.410,2.667,0.000,2.667,2.667,2.562
4,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:01210-06111,2.872,2.015,0.262,1.800,2.364,5.811
5,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:01262-06505,2.462,2.372,0.284,2.077,2.818,5.435
6,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:01265-06503,1.231,2.392,0.237,2.143,2.615,3.624
7,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:01266-06504,0.821,2.262,0.454,1.941,2.583,3.843
8,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:01272-07058,64.009,2.526,0.544,1.500,3.950,29.492
9,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:01347-05956,28.312,3.024,0.371,2.267,3.900,20.680
10,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:01505-05799,35.697,3.110,0.924,1.450,4.962,21.806
11,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:01565-05777,29.953,2.543,0.494,1.667,3.889,19.463
12,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:01686-06695,33.646,2.084,0.510,1.143,3.536,21.275
13,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:01707-06740,2.462,1.940,0.321,1.571,2.500,5.435
14,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:01842-06378,8.617,3.135,0.533,1.889,4.400,11.621
15,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:01896-06228,33.235,3.323,0.762,2.000,5.875,20.744
16,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:01937-06864,14.771,1.300,0.367,0.881,2.111,14.339
17,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:01946-05748,26.260,2.507,0.594,1.250,3.842,19.463
18,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:01948-06522,17.643,1.658,0.225,1.103,2.103,15.995
19,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:01947-06068,45.134,2.134,0.655,0.946,4.000,24.743
20,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:01964-06810,70.163,2.685,0.487,1.800,4.818,33.646
21,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:01966-06644,70.163,2.172,0.744,1.170,4.700,31.459
22,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:01977-06187,10.668,2.022,0.265,1.429,2.533,12.527
23,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:01986-05372,4.513,1.750,0.354,1.333,2.308,9.434
24,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02016-05762,64.419,2.040,0.735,0.762,3.921,31.149
25,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02022-04540,18.054,2.386,0.676,1.235,4.111,15.464
26,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02063-05272,3.283,1.293,0.285,0.938,1.778,6.716
27,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02088-04598,15.182,1.969,0.314,1.480,3.000,14.183
28,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02102-06373,20.105,1.872,0.373,1.200,2.750,16.370
29,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02128-06749,16.823,2.218,0.475,1.286,3.556,15.464
30,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02198-04117,0.410,1.333,0.000,1.333,1.333,2.562
31,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02195-06038,20.926,2.522,0.504,1.600,3.632,17.432
32,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02204-04106,9.437,1.963,0.372,1.348,2.714,11.621
33,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02246-06556,0.410,1.182,0.000,1.182,1.182,2.562
34,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02246-06560,3.283,1.339,0.165,1.182,1.632,6.716
35,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02254-06233,21.336,2.449,0.581,1.524,3.867,19.243
36,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02294-04028,33.235,2.008,0.395,1.300,3.643,21.806
37,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02332-04315,1.231,1.110,0.285,0.789,1.333,3.624
38,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02330-06245,29.132,2.840,0.691,1.714,4.800,20.369
39,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02337-04172,10.258,0.869,0.176,0.615,1.280,11.090
40,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02351-06163,0.410,2.000,0.000,2.000,2.000,2.562
41,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02375-04639,0.410,4.000,0.000,4.000,4.000,2.562
42,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02378-04613,0.410,1.500,0.000,1.500,1.500,2.562
43,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02377-04630,10.258,2.905,1.003,1.556,4.800,11.996
44,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02384-06159,1.231,2.315,0.274,2.000,2.500,3.624
45,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02385-04610,0.410,1.115,0.000,1.115,1.115,2.562
46,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02378-06151,73.036,2.169,0.600,0.962,3.886,32.521
47,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02391-05385,12.309,1.843,0.278,1.391,2.333,12.372
48,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02395-04639,1.231,3.236,0.964,2.154,4.000,3.624
49,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02396-04623,0.410,1.688,0.000,1.688,1.688,2.562
50,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02397-04629,0.410,1.824,0.000,1.824,1.824,2.562
51,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02388-04622,222.800,1.743,0.621,0.805,4.273,131.959
52,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02402-04636,0.410,2.308,0.000,2.308,2.308,2.562
53,slice0001_Result of After_GA3_B1 Region1_Merged_RAW_ch01.tif:02403-04624,1.641,1.740,0.478,1.120,2.286,5.124
