 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:00417-04866,101.758,0.955,0.287,0.527,2.267,38.396
2,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:00551-04456,84.524,0.797,0.165,0.513,1.333,34.397
3,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:00635-04540,52.520,1.643,0.318,0.963,2.556,27.085
4,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:00851-08164,84.935,1.175,0.164,0.806,1.727,35.083
5,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:00855-06019,145.661,2.064,0.312,1.312,3.000,47.079
6,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:00866-05568,0.821,1.214,0.019,1.200,1.227,3.843
7,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:00862-05125,42.262,0.896,0.108,0.615,1.227,24.368
8,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:00867-05566,2.462,1.099,0.109,0.957,1.227,6.341
9,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:00913-06966,36.108,1.363,0.211,0.958,1.963,22.025
10,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01012-03547,31.184,1.498,0.241,0.857,1.955,19.994
11,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01042-07540,41.031,1.240,0.139,0.826,1.550,23.993
12,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01084-07743,29.543,2.180,0.293,1.611,2.769,19.619
13,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01100-09471,91.089,1.469,0.228,0.938,2.037,36.209
14,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01150-05779,132.121,1.235,0.212,0.788,1.875,43.300
15,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01166-05130,6.565,1.187,0.149,0.964,1.500,8.903
16,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01172-05711,0.410,1.042,0.000,1.042,1.042,2.562
17,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01172-05713,0.410,0.923,0.000,0.923,0.923,2.562
18,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01188-04271,30.773,1.550,0.260,1.000,2.286,19.994
19,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01195-05708,34.466,1.653,0.249,1.125,2.273,22.556
20,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01251-07037,148.533,1.126,0.149,0.771,1.559,47.299
21,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01344-04962,7.386,1.925,0.338,1.400,2.714,9.279
22,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01383-04257,17.233,1.014,0.107,0.758,1.233,17.807
23,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01394-04784,12.309,1.631,0.252,1.067,2.200,12.527
24,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01392-07531,29.953,0.890,0.188,0.581,1.444,19.994
25,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01503-04377,0.410,1.643,0.000,1.643,1.643,2.562
26,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01508-04378,0.410,1.250,0.000,1.250,1.250,2.562
27,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01509-04375,0.410,1.444,0.000,1.444,1.444,2.562
28,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01509-04381,0.821,1.562,0.000,1.562,1.562,3.843
29,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01508-04378,4.924,1.541,0.208,1.100,1.857,11.246
30,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01510-04383,0.410,1.500,0.000,1.500,1.500,2.562
31,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01536-08350,0.821,1.469,0.133,1.375,1.562,3.843
32,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01537-08353,0.410,1.278,0.000,1.278,1.278,2.562
33,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01539-08348,0.821,1.629,0.025,1.611,1.647,3.843
34,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01539-08351,0.410,1.412,0.000,1.412,1.412,2.562
35,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01541-08350,1.641,1.584,0.269,1.353,1.929,6.406
36,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01765-04437,0.410,1.316,0.000,1.316,1.316,2.562
37,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01769-04436,13.540,1.562,0.201,1.190,2.083,14.714
38,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01852-05717,5.744,1.130,0.096,0.960,1.263,9.809
39,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01929-08971,54.982,1.780,0.270,1.333,2.476,27.085
40,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01942-04464,44.314,0.726,0.122,0.512,1.080,27.085
41,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:01949-07019,20.516,1.094,0.089,0.857,1.261,16.746
42,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02049-07344,53.341,1.657,0.286,0.857,2.231,27.085
43,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02138-03607,48.007,1.648,0.343,0.933,2.417,25.274
44,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02143-06837,83.704,1.210,0.191,0.792,1.882,35.614
45,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02166-09162,0.410,1.778,0.000,1.778,1.778,2.562
46,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02167-09159,8.206,1.837,0.514,1.300,3.800,13.808
47,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02178-09548,3.693,1.587,0.144,1.455,1.889,11.246
48,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02178-08956,47.186,1.514,0.224,0.933,2.032,25.118
49,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02189-05497,70.574,1.490,0.239,1.000,2.130,31.304
50,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02207-06671,39.390,1.479,0.265,0.889,2.111,22.931
51,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02309-01736,26.670,1.590,0.269,1.133,2.455,20.149
52,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02341-02391,7.386,1.655,0.198,1.312,2.231,11.090
53,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02422-10916,26.260,1.963,0.443,0.933,3.091,18.713
54,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02440-05270,0.410,1.538,0.000,1.538,1.538,2.562
55,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02451-04166,34.056,1.579,0.216,1.083,2.042,21.275
56,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02508-09715,16.002,1.908,0.297,1.462,2.583,14.183
57,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02584-09965,21.747,2.118,0.382,1.333,3.000,17.432
58,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02591-02257,25.029,1.418,0.213,0.955,1.889,18.182
59,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02595-04858,11.489,0.937,0.168,0.667,1.318,12.527
60,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02617-06273,38.980,1.614,0.273,1.133,2.333,23.087
61,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02668-03769,11.489,2.882,0.357,2.250,4.000,11.996
62,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02711-06244,39.390,1.166,0.174,0.786,1.560,23.993
63,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02747-04671,0.410,1.667,0.000,1.667,1.667,2.562
64,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02751-04672,17.233,1.765,0.361,1.235,2.636,17.276
65,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02783-04470,24.619,1.371,0.273,0.889,1.941,18.182
66,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02788-10808,25.850,1.224,0.256,0.730,1.941,18.402
67,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02812-02916,34.056,1.350,0.191,1.000,2.182,22.181
68,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02859-05210,50.468,1.388,0.231,0.939,1.970,26.710
69,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02892-09889,34.056,1.998,0.279,1.438,2.538,22.025
70,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02924-10828,4.513,1.487,0.191,1.182,1.737,11.090
71,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02926-10826,0.821,1.553,0.186,1.421,1.684,3.624
72,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02925-04691,98.885,0.978,0.285,0.574,2.071,37.490
73,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02938-07292,69.753,1.763,0.388,1.100,2.875,31.459
74,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02982-10265,69.753,0.944,0.143,0.565,1.269,30.929
75,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02992-04470,13.951,1.846,0.315,1.333,2.417,14.339
76,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:02997-08157,1.231,1.165,0.122,1.042,1.286,4.529
77,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03003-08150,61.547,0.844,0.146,0.561,1.318,38.926
78,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03013-06623,19.695,1.528,0.233,1.105,2.083,17.056
79,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03024-08544,29.543,1.283,0.165,0.960,1.750,19.838
80,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03031-03267,55.803,1.362,0.204,0.909,1.864,26.930
81,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03046-05555,38.980,1.812,0.315,0.952,2.611,24.963
82,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03045-06587,113.246,1.128,0.159,0.722,1.610,40.738
83,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03068-01147,42.262,1.657,0.288,1.000,2.333,24.523
84,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03069-05469,46.776,1.380,0.192,0.913,1.917,25.274
85,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03132-08728,17.233,1.787,0.324,1.125,2.667,16.526
86,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03153-10296,50.468,1.405,0.194,1.000,2.118,25.649
87,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03160-06771,112.836,1.628,0.261,0.944,2.389,41.269
88,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03171-11059,29.953,1.850,0.278,1.250,2.571,19.994
89,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03191-06796,29.132,0.825,0.108,0.614,1.233,19.619
90,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03193-06381,38.569,1.206,0.145,0.897,1.714,23.617
91,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03219-07695,0.821,1.812,0.138,1.714,1.909,3.843
92,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03266-08322,0.821,2.347,0.137,2.250,2.444,3.843
93,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03267-02991,0.410,1.000,0.000,1.000,1.000,2.562
94,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03269-02991,0.410,1.300,0.000,1.300,1.300,2.562
95,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03270-02990,1.231,1.531,0.237,1.350,1.800,3.624
96,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03275-07702,0.410,1.857,0.000,1.857,1.857,2.562
97,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03279-07701,0.410,1.812,0.000,1.812,1.812,2.562
98,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03281-07704,0.821,1.889,0.374,1.625,2.154,3.624
99,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03272-08312,109.143,1.135,0.193,0.759,1.917,42.550
100,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03278-07698,20.926,1.756,0.188,1.316,2.154,29.959
101,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03283-07702,0.410,1.571,0.000,1.571,1.571,2.562
102,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03298-03151,2.462,1.308,0.185,1.038,1.500,8.528
103,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03301-03153,0.410,1.125,0.000,1.125,1.125,2.562
104,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03385-05511,0.821,2.083,0.236,1.917,2.250,3.843
105,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03387-05515,2.052,2.151,0.319,1.786,2.500,5.435
106,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03392-09921,0.410,0.737,0.000,0.737,0.737,2.562
107,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03400-09935,0.410,0.897,0.000,0.897,0.897,2.562
108,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03398-09928,13.130,0.593,0.072,0.455,0.763,15.620
109,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03403-09923,0.410,0.750,0.000,0.750,0.750,2.562
110,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03398-09927,80.421,0.724,0.114,0.455,1.034,42.330
111,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03404-11071,27.081,1.646,0.151,1.304,2.000,18.933
112,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03434-01959,28.722,1.769,0.157,1.375,2.091,23.242
113,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03457-10464,1.231,1.677,0.187,1.462,1.800,3.624
114,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03516-07055,28.722,1.449,0.228,0.967,1.920,19.619
115,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03532-03043,27.491,1.806,0.251,1.308,2.571,21.806
116,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03553-08312,41.442,2.141,0.280,1.471,2.786,24.368
117,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03574-03070,0.410,1.714,0.000,1.714,1.714,2.562
118,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03581-09841,14.771,1.337,0.414,0.605,2.286,15.089
119,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03578-06969,58.264,1.408,0.215,0.815,1.889,27.836
120,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03586-04134,103.809,1.186,0.134,0.875,1.607,38.551
121,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03592-09702,38.980,1.267,0.203,0.867,1.783,22.401
122,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03638-07333,6.565,1.678,0.147,1.455,1.947,9.279
123,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03659-01769,42.262,2.181,0.280,1.643,3.067,25.429
124,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03663-07589,23.798,1.695,0.254,1.250,2.333,19.619
125,slice0001_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:03695-02584,59.906,1.340,0.164,0.897,1.857,28.367
