 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,Result of BEFORE_GA3_B3 Region1_Merged_RAW_ch01.tif:01531-05977,22.157,2.543,0.348,1.895,3.643,17.807
2,Result of BEFORE_GA3_B3 Region1_Merged_RAW_ch01.tif:01538-06785,38.980,3.536,0.922,1.571,5.364,22.556
3,Result of BEFORE_GA3_B3 Region1_Merged_RAW_ch01.tif:01660-08076,49.238,2.018,0.696,1.000,5.800,26.710
4,Result of BEFORE_GA3_B3 Region1_Merged_RAW_ch01.tif:01792-07074,2.462,3.438,0.539,2.889,4.250,5.435
5,Result of BEFORE_GA3_B3 Region1_Merged_RAW_ch01.tif:01876-08324,6.565,2.583,0.398,2.000,3.200,10.715
6,Result of BEFORE_GA3_B3 Region1_Merged_RAW_ch01.tif:01918-06335,38.569,2.488,0.551,1.500,3.800,23.087
7,Result of BEFORE_GA3_B3 Region1_Merged_RAW_ch01.tif:01956-06529,6.155,2.709,0.434,1.818,3.500,8.528
8,Result of BEFORE_GA3_B3 Region1_Merged_RAW_ch01.tif:01998-05829,20.926,2.685,0.388,1.917,3.500,16.370
9,Result of BEFORE_GA3_B3 Region1_Merged_RAW_ch01.tif:02012-08954,23.798,2.616,0.488,1.750,3.643,17.651
10,Result of BEFORE_GA3_B3 Region1_Merged_RAW_ch01.tif:02152-05771,96.834,2.723,0.773,1.045,5.000,37.270
11,Result of BEFORE_GA3_B3 Region1_Merged_RAW_ch01.tif:02296-06666,14.361,2.829,0.477,1.875,4.167,13.808
12,Result of BEFORE_GA3_B3 Region1_Merged_RAW_ch01.tif:02298-09081,48.007,3.433,0.734,1.714,5.308,25.649
13,Result of BEFORE_GA3_B3 Region1_Merged_RAW_ch01.tif:02317-06073,43.083,1.823,0.458,0.974,3.154,24.212
14,Result of BEFORE_GA3_B3 Region1_Merged_RAW_ch01.tif:02338-09112,4.513,2.801,0.695,2.167,4.571,7.622
15,Result of BEFORE_GA3_B3 Region1_Merged_RAW_ch01.tif:02358-07630,11.078,2.242,0.246,1.778,3.000,13.963
16,Result of BEFORE_GA3_B3 Region1_Merged_RAW_ch01.tif:02538-06588,11.078,2.758,0.442,1.938,4.000,12.527
17,Result of BEFORE_GA3_B3 Region1_Merged_RAW_ch01.tif:02539-09333,14.361,2.597,0.461,1.812,3.545,14.183
18,Result of BEFORE_GA3_B3 Region1_Merged_RAW_ch01.tif:02544-08951,12.309,2.422,0.491,1.700,3.471,13.122
19,Result of BEFORE_GA3_B3 Region1_Merged_RAW_ch01.tif:02564-09458,42.673,2.301,0.577,1.250,3.600,25.649
