 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:00826-07214,0.410,1.476,0.000,1.476,1.476,1.812
2,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:00828-07216,0.821,1.284,0.119,1.200,1.368,3.624
3,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:00830-03538,0.410,1.235,0.000,1.235,1.235,2.562
4,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:01143-05114,29.953,2.587,0.390,2.000,3.625,22.336
5,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:01170-06063,26.260,0.913,0.127,0.641,1.269,19.994
6,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:01324-05819,0.821,1.727,0.129,1.636,1.818,3.843
7,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:01380-04472,55.803,1.314,0.190,0.826,1.806,27.991
8,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:01737-08360,52.110,2.181,0.446,1.190,3.500,26.555
9,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:01774-08377,19.695,1.603,0.414,1.105,2.778,17.432
10,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:01822-06131,16.413,1.461,0.238,1.067,1.917,15.620
11,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:01849-03451,37.749,1.474,0.215,1.000,2.043,23.617
12,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:01853-05674,4.103,1.667,0.179,1.333,1.875,6.716
13,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:01889-03296,117.760,1.967,0.507,1.059,3.195,40.583
14,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02056-06177,18.054,0.912,0.110,0.727,1.320,15.995
15,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02061-03755,22.567,1.743,0.180,1.333,2.222,23.773
16,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02164-05624,1.641,1.548,0.243,1.333,1.857,6.406
17,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02262-06113,0.410,1.412,0.000,1.412,1.412,2.562
18,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02292-06111,4.103,0.798,0.147,0.655,1.045,10.340
19,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02310-05257,19.695,1.559,0.277,1.045,2.059,15.995
20,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02334-05378,19.695,1.393,0.175,1.095,1.938,16.526
21,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02362-03207,2.872,1.455,0.142,1.294,1.706,7.622
22,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02380-03337,78.780,1.044,0.128,0.714,1.515,32.960
23,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02548-04575,0.410,1.583,0.000,1.583,1.583,2.562
24,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02549-04571,0.410,1.385,0.000,1.385,1.385,2.562
25,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02551-04574,0.410,1.909,0.000,1.909,1.909,2.562
26,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02553-04575,0.410,1.364,0.000,1.364,1.364,2.562
27,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02550-04570,15.592,1.527,0.212,1.125,2.000,29.428
28,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02558-00837,68.522,1.835,0.408,1.074,2.967,30.929
29,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02749-05331,0.821,0.975,0.035,0.950,1.000,3.843
30,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02771-04083,98.475,1.966,0.365,1.095,2.833,36.584
31,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02859-03360,154.278,1.099,0.163,0.634,1.623,46.768
32,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02943-05335,0.410,1.500,0.000,1.500,1.500,2.562
33,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02945-05334,9.848,1.836,0.238,1.500,2.545,12.527
34,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02948-05336,0.410,1.769,0.000,1.769,1.769,2.562
35,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02951-05465,33.235,1.256,0.154,0.846,1.600,22.181
36,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:02967-03029,79.601,1.265,0.255,0.667,1.764,33.491
37,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03012-05478,5.744,1.552,0.211,1.188,1.929,11.090
38,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03091-04158,83.704,0.858,0.232,0.526,1.833,38.707
39,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03099-02871,23.798,2.680,0.513,1.706,4.000,18.557
40,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03202-03927,27.081,2.110,0.436,1.200,3.200,18.557
41,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03242-03937,6.565,1.135,0.251,0.800,1.643,9.279
42,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03253-03464,39.800,1.464,0.224,0.857,2.129,23.837
43,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03313-05560,44.314,0.839,0.105,0.649,1.167,25.804
44,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03440-03871,29.953,0.896,0.160,0.604,1.333,19.463
45,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03445-02645,1.231,1.287,0.117,1.167,1.400,3.624
46,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03459-08023,72.625,1.794,0.255,1.143,2.500,32.741
47,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03500-07671,0.410,1.615,0.000,1.615,1.615,2.562
48,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03500-07668,6.975,1.937,0.199,1.667,2.400,13.808
49,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03503-07668,0.821,2.136,0.193,2.000,2.273,3.843
50,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03510-06018,32.004,1.557,0.255,0.929,2.250,20.900
51,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03567-05627,19.285,1.962,0.282,1.333,2.636,15.995
52,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03572-00904,0.410,1.556,0.000,1.556,1.556,2.562
53,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03640-04844,2.052,1.273,0.093,1.130,1.389,7.247
54,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03771-08068,0.410,1.130,0.000,1.130,1.130,2.562
55,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03776-08068,11.489,1.068,0.102,0.889,1.318,12.902
56,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03779-07061,37.749,1.121,0.137,0.857,1.520,22.711
57,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03833-03495,9.027,0.920,0.149,0.730,1.350,11.090
58,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03882-00650,45.955,0.966,0.129,0.739,1.417,25.649
59,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03942-01146,5.334,1.260,0.144,1.095,1.562,9.059
60,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:03991-06543,29.132,2.189,0.410,1.333,3.167,19.994
61,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:04014-06185,19.285,2.253,0.344,1.692,3.167,17.651
62,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:04061-03954,84.114,1.904,0.312,1.167,2.750,35.458
63,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:04218-06973,19.695,1.467,0.261,1.143,2.700,16.901
64,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:04223-08407,21.336,1.521,0.245,1.083,2.111,17.276
65,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:04236-02064,2.052,1.436,0.121,1.273,1.556,5.435
66,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:04239-02061,3.693,1.086,0.113,0.962,1.316,7.622
67,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:04263-02840,39.390,0.941,0.133,0.649,1.333,22.401
68,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:04279-04836,40.211,1.263,0.196,0.905,1.846,23.837
69,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:04315-01818,46.365,1.372,0.192,0.833,1.833,24.963
70,slice0001_Result of After_GA3_A4 Region1_Merged_RAW_ch01.tif:04348-07401,12.309,1.194,0.105,1.000,1.409,14.339
