 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:01587-08095,47.186,2.514,0.615,1.241,4.000,25.649
2,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:01842-06350,61.137,3.118,0.625,2.000,6.000,29.272
3,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:02075-05786,128.838,2.920,0.592,1.688,4.643,42.770
4,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:02229-09096,9.437,2.829,0.389,2.154,3.500,17.962
5,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:02250-06092,43.903,2.323,0.571,1.231,3.935,24.368
6,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:02306-09599,2.052,1.585,0.205,1.385,1.846,4.529
7,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:02483-09459,47.186,2.520,0.590,1.200,4.200,24.963
8,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:02494-09525,0.410,2.000,0.000,2.000,2.000,2.562
9,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:02490-09519,22.978,1.871,0.570,0.947,3.333,28.522
10,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:02561-06162,0.821,2.290,0.499,1.938,2.643,3.624
11,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:02551-08453,88.628,2.452,0.477,1.467,3.818,39.082
12,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:02554-06167,50.058,2.100,0.364,1.438,3.636,45.954
13,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:02605-06144,22.978,2.135,0.400,1.294,2.889,17.276
14,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:02684-10503,14.771,2.300,0.399,1.542,3.250,14.183
15,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:02685-08622,11.899,2.258,0.355,1.556,3.000,13.963
16,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:02718-06099,53.341,2.790,0.600,1.538,4.182,26.930
17,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:02722-06166,11.489,1.514,0.429,0.952,2.857,15.995
18,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:02746-09801,12.720,2.786,0.476,1.733,3.667,12.902
19,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:02810-05984,0.410,2.500,0.000,2.500,2.500,2.562
20,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:02806-05973,185.051,1.988,0.482,0.980,3.846,52.048
21,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:02870-10294,37.338,3.239,0.591,2.111,4.571,23.617
22,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:02933-10850,35.287,2.978,0.518,2.000,4.308,22.025
23,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03103-11040,58.675,2.769,0.745,1.000,4.294,28.586
24,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03200-05787,0.410,1.667,0.000,1.667,1.667,2.562
25,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03199-05782,24.619,1.907,0.271,1.333,2.500,28.302
26,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03289-10362,19.285,2.443,0.305,1.882,3.235,16.526
27,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03288-06148,181.358,2.031,0.603,0.946,4.111,55.516
28,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03409-03772,100.116,2.284,0.619,1.227,4.393,39.302
29,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03441-08674,16.823,2.238,0.346,1.538,3.091,15.245
30,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03461-08387,32.004,2.033,0.652,1.053,3.700,23.242
31,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03514-08420,9.027,2.322,0.321,1.737,3.000,10.715
32,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03584-03168,12.720,2.213,0.518,1.389,3.444,13.433
33,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03622-10971,20.516,2.800,0.647,1.500,4.056,16.746
34,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03629-03845,86.576,2.307,0.479,1.412,3.733,37.801
35,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03645-08085,22.978,3.680,1.031,1.818,6.000,17.807
36,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03693-10584,9.848,2.424,0.382,1.579,3.133,11.621
37,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03702-08563,19.285,1.977,0.268,1.375,2.643,15.995
38,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03750-07850,25.439,2.860,0.439,1.857,3.923,18.557
39,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03749-06195,37.749,1.708,0.294,0.967,2.308,24.368
40,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03834-03381,19.285,2.160,0.332,1.632,2.933,15.995
41,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03871-09911,34.056,2.582,0.516,1.500,4.000,21.806
42,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03885-08882,5.334,3.156,0.392,2.545,4.000,8.528
43,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03914-05548,13.130,1.844,0.279,1.400,2.625,14.714
44,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03918-06228,7.796,2.958,0.613,2.214,4.533,9.809
45,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03935-04275,26.260,2.054,0.499,1.111,3.389,18.557
46,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03952-10994,3.693,1.629,0.203,1.368,1.933,6.716
47,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03951-03817,27.901,2.815,0.638,1.636,4.500,19.463
48,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03964-04796,70.984,2.341,0.375,1.500,3.727,33.957
49,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03971-06874,42.673,2.880,0.669,1.688,4.882,24.212
50,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04007-04337,79.601,2.483,0.583,1.227,4.174,32.585
51,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04028-07228,9.848,2.126,0.278,1.778,2.571,14.714
52,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04028-04120,24.208,2.070,0.574,1.212,3.500,18.182
53,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04047-07362,7.796,2.252,0.183,2.000,2.857,11.090
54,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04060-10535,2.052,3.009,0.299,2.727,3.500,4.905
55,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04083-07134,14.361,2.867,0.340,2.154,3.889,14.714
56,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04093-08308,28.312,2.859,0.723,1.455,4.706,19.088
57,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04101-07336,27.491,2.129,0.399,1.357,3.125,20.744
58,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04114-04656,20.105,1.843,0.284,1.200,2.562,16.901
59,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04132-03658,0.410,1.727,0.000,1.727,1.727,2.562
60,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04127-06462,72.215,2.423,0.743,1.182,5.375,32.585
61,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04144-04445,12.720,2.103,0.544,1.333,3.294,12.747
62,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04152-05523,44.724,2.450,0.415,1.625,3.714,24.743
63,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04157-07338,82.883,2.077,0.434,1.068,3.417,34.022
64,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04170-05504,1.641,2.550,0.150,2.364,2.700,4.529
65,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04183-07398,18.054,1.949,0.285,1.400,2.692,15.089
66,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04203-03567,22.567,2.626,0.433,1.900,4.125,17.807
67,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04212-06259,1.231,1.525,0.153,1.364,1.667,3.624
68,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04261-05245,15.592,2.176,0.472,1.471,3.222,15.464
69,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04264-07001,13.951,2.182,0.366,1.476,3.056,13.277
70,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04264-05210,48.007,3.144,0.626,1.933,4.600,25.118
71,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04281-09152,0.821,2.962,0.937,2.300,3.625,3.624
72,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04309-05818,16.002,1.931,0.280,1.444,2.571,14.339
73,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04315-04087,15.592,1.425,0.324,1.033,2.417,18.868
74,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04321-04087,0.410,1.786,0.000,1.786,1.786,2.562
75,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04320-04092,11.078,1.554,0.305,1.174,2.214,13.277
76,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04325-07617,3.693,2.069,0.558,1.438,3.143,6.716
77,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04326-06379,37.338,1.578,0.383,1.000,2.846,26.335
78,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04338-07180,46.365,2.097,0.430,1.263,3.095,24.743
79,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04358-05565,21.336,1.889,0.313,1.207,2.538,16.370
80,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04373-08320,59.085,2.433,0.929,1.000,5.053,28.897
81,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04390-08615,135.814,2.254,0.433,1.385,3.444,44.206
82,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04396-07643,46.365,2.572,0.490,1.417,3.789,24.743
83,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04419-05275,15.592,1.802,0.328,1.190,2.700,24.368
84,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04424-05265,8.617,1.618,0.186,1.333,1.950,11.621
85,slice0001_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04426-05643,10.258,1.250,0.198,0.964,1.882,15.089
