 ,Label,Area,Mean,StdDev,Min,Max,Perim.
325,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08052-05078,19.695,2.417,0.584,1.333,3.588,15.995
326,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08062-04173,28.312,1.834,0.396,1.229,2.692,19.463
327,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08066-01885,3.283,1.999,0.214,1.850,2.429,5.811
328,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08068-04394,19.285,2.800,0.646,1.429,4.133,15.995
329,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08069-03360,16.823,1.685,0.670,0.842,3.889,20.524
330,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08080-02378,10.668,1.931,0.295,1.375,2.667,12.527
331,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08083-03775,38.569,2.555,0.472,1.571,3.750,23.087
332,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08097-07034,1.231,2.012,0.227,1.750,2.143,4.529
333,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08096-07030,51.699,2.504,0.486,1.480,4.000,29.803
334,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08115-07937,9.848,3.440,0.770,2.250,4.769,10.715
335,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08119-10924,6.565,2.262,0.394,1.615,3.250,9.809
336,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08127-03357,14.361,2.969,0.620,1.929,4.111,13.277
337,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08134-06393,31.184,1.863,0.361,1.200,2.947,20.744
338,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08138-02137,24.619,2.630,0.540,1.379,3.931,18.402
339,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08148-03834,4.924,3.058,0.440,2.462,4.125,7.622
340,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08181-04665,3.693,2.825,0.400,2.125,3.400,8.528
341,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08185-08396,25.439,2.197,0.740,1.116,4.200,17.807
342,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08189-09578,28.312,2.711,0.594,1.500,4.000,20.369
343,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08199-03049,5.334,3.241,0.535,2.300,4.000,9.809
344,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08213-03285,29.132,2.146,0.577,1.000,3.533,19.838
345,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08234-03880,9.027,1.785,0.380,1.208,2.500,11.090
346,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08233-03447,34.466,1.570,0.256,1.045,2.500,24.898
347,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08245-02429,24.208,2.694,0.587,1.647,3.864,18.182
348,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08250-03792,9.437,2.545,0.343,1.875,3.455,11.466
349,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08270-05218,24.208,2.752,0.501,1.818,4.143,18.182
350,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08309-07898,26.260,1.187,0.201,0.792,2.053,18.182
351,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08312-08148,10.668,1.431,0.190,0.963,1.857,12.527
352,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08372-02181,22.567,2.342,0.348,1.667,3.333,16.746
353,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08395-09372,18.464,1.887,0.379,1.233,2.933,15.620
354,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08401-04043,6.155,2.088,0.413,1.444,2.875,10.185
355,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08411-02150,6.155,2.718,0.442,1.812,3.727,8.373
356,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08413-02224,4.924,2.439,0.402,1.923,3.100,7.622
357,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08432-07776,4.103,2.136,0.309,1.812,2.692,7.092
358,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08437-03144,60.316,3.276,0.884,1.550,5.320,28.742
359,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08443-07860,22.567,2.648,0.539,1.700,4.053,17.276
360,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08444-07763,48.417,2.042,0.372,1.167,3.000,28.897
361,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08453-02747,6.155,2.891,0.404,2.000,3.571,9.965
362,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08459-07984,22.567,2.309,0.515,1.444,3.556,17.276
363,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08464-07382,4.513,1.013,0.097,0.850,1.200,7.998
364,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08470-01119,11.078,2.061,0.366,1.333,2.800,11.996
365,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08478-04758,7.386,2.826,0.464,2.000,3.833,9.809
366,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08480-03609,11.899,2.109,0.321,1.611,2.833,12.902
367,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08514-09351,1.641,1.242,0.078,1.154,1.333,4.905
368,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08513-07706,13.540,2.278,0.374,1.611,3.000,13.433
369,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08516-09350,0.410,1.150,0.000,1.150,1.150,2.562
370,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:08537-03395,23.798,2.245,0.484,1.000,3.343,18.182
