 ,Label,Area,Mean,StdDev,Min,Max,Perim.
7347,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:09874-03929,1.641,1.895,0.245,1.583,2.182,6.341
7348,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:09919-04064,7.796,1.526,0.399,0.909,2.364,10.185
7349,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:09920-08222,15.592,1.186,0.136,0.958,1.500,15.620
7350,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:09929-03427,36.518,2.108,0.365,1.250,3.000,22.025
7351,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:09928-04963,47.186,1.314,0.397,0.694,2.583,30.334
7352,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:09931-05428,18.054,1.229,0.202,0.829,1.909,15.089
7353,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:09939-03651,92.731,1.323,0.304,0.870,2.300,37.115
7354,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:09945-04429,23.388,1.035,0.134,0.763,1.400,18.337
7355,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:09971-05595,10.258,1.594,0.162,1.312,1.933,12.152
7356,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:09995-04521,65.650,1.395,0.152,1.000,1.743,30.023
7357,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10001-08260,10.258,1.858,0.247,1.455,2.333,11.466
7358,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10018-07172,8.617,1.530,0.181,1.278,1.933,11.621
7359,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10029-03582,25.029,1.871,0.334,1.056,2.526,18.713
7360,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10056-03884,2.462,1.378,0.214,1.250,1.800,6.186
7361,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10067-04545,6.155,2.512,0.660,1.182,3.700,9.434
7362,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10071-05206,80.421,1.853,0.302,1.118,2.750,33.271
7363,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10107-03865,41.031,2.840,0.852,1.333,4.667,23.837
7364,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10128-03631,27.901,2.404,0.588,1.222,3.688,19.088
7365,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10139-04898,24.619,1.615,0.231,0.920,2.056,18.182
7366,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10179-05568,42.262,2.769,0.733,1.583,4.538,23.462
7367,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10183-04523,52.110,1.227,0.235,0.714,1.722,26.024
7368,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10261-07202,28.722,2.282,0.436,1.364,3.500,19.838
7369,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10332-08267,49.648,1.070,0.138,0.821,1.500,27.085
7370,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10340-05141,33.235,2.353,0.672,1.250,3.905,21.275
7371,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10389-07363,11.489,1.363,0.161,1.100,1.647,15.995
7372,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10401-04804,12.309,1.879,0.243,1.333,2.333,12.902
7373,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10432-07217,28.722,1.312,0.215,0.913,1.895,25.585
7374,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10438-08425,119.811,2.377,0.379,1.286,3.750,41.113
7375,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10456-07222,0.410,0.895,0.000,0.895,0.895,2.562
7376,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10465-07212,2.462,1.439,0.299,1.167,1.867,5.435
7377,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10463-07151,58.264,1.779,0.320,1.095,2.500,29.117
7378,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10469-05231,11.489,2.033,0.317,1.462,2.667,11.621
7379,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10561-05087,6.565,0.951,0.084,0.833,1.100,10.185
7380,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10610-05110,53.341,1.085,0.305,0.654,2.200,27.836
7381,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10676-06036,0.410,0.935,0.000,0.935,0.935,2.562
7382,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10682-06027,125.966,1.115,0.125,0.750,1.457,46.329
7383,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10764-04664,4.924,2.014,0.303,1.556,2.500,8.528
7384,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10925-07310,0.410,1.611,0.000,1.611,1.611,2.562
7385,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10928-07318,0.410,1.667,0.000,1.667,1.667,2.562
7386,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10930-07314,1.641,1.159,0.065,1.107,1.250,5.124
7387,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10930-07307,13.540,1.269,0.195,0.900,1.850,18.868
7388,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10935-07308,0.410,0.964,0.000,0.964,0.964,2.562
7389,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:10934-07314,4.513,1.315,0.264,0.852,1.684,9.809
